invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,dob
I218590,C224743,FEMALE,29,COSMETICS,4,162.64,DEBIT CARD,2022-05-09,Metropol AVM,1997-02-05
I221715,C187266,FEMALE,63,FOOD & BEVERAGE,3,15.69,CASH,2022-01-22,Cevahir AVM,1963-02-05
I204979,C173084,FEMALE,24,SOUVENIR,5,58.65,DEBIT CARD,2021-03-14,Istinye Park,2002-02-05
I115146,C126956,FEMALE,24,COSMETICS,5,203.30,CASH,2022-04-27,Metrocity,2002-02-05
I883721,C236859,FEMALE,44,TECHNOLOGY,5,5250.00,CREDIT CARD,2021-11-19,Mall of Istanbul,1982-02-05
I251356,C493252,FEMALE,47,COSMETICS,4,162.64,CASH,2021-09-04,Kanyon,1979-02-05
I276526,C136117,FEMALE,57,SHOES,5,3000.85,DEBIT CARD,2021-10-02,Emaar Square Mall,1969-02-05
I739573,C199947,FEMALE,40,CLOTHING,5,1500.40,DEBIT CARD,2021-04-17,Kanyon,1986-02-05
I115870,C135790,FEMALE,69,SHOES,4,2400.68,CASH,2021-09-04,Metrocity,1957-02-05
I190444,C606418,FEMALE,47,FOOD & BEVERAGE,5,26.15,CASH,2022-07-20,Mall of Istanbul,1979-02-05
I309552,C111611,FEMALE,53,FOOD & BEVERAGE,4,20.92,CREDIT CARD,2021-07-14,Istinye Park,1973-02-05
I340014,C169650,FEMALE,66,CLOTHING,2,600.16,CREDIT CARD,2022-09-08,Istinye Park,1960-02-05
I140663,C218383,FEMALE,52,CLOTHING,5,1500.40,CASH,2022-10-15,Zorlu Center,1974-02-05
I289643,C584700,FEMALE,43,TECHNOLOGY,2,2100.00,CASH,2022-08-22,Kanyon,1983-02-05
I722319,C157070,FEMALE,59,TOYS,1,35.84,DEBIT CARD,2021-10-03,Kanyon,1967-02-05
I317105,C177975,FEMALE,30,SOUVENIR,5,58.65,DEBIT CARD,2021-07-29,Kanyon,1996-02-05
I215721,C830576,FEMALE,25,COSMETICS,2,81.32,DEBIT CARD,2022-12-16,Metrocity,2001-02-05
I154469,C807389,FEMALE,29,TOYS,3,107.52,DEBIT CARD,2021-06-03,Mall of Istanbul,1997-02-05
I172458,C277842,FEMALE,19,CLOTHING,2,600.16,DEBIT CARD,2021-12-17,Cevahir AVM,2007-02-05
I282854,C282974,FEMALE,33,CLOTHING,3,900.24,CASH,2022-07-31,Kanyon,1993-02-05
I869144,C181972,FEMALE,26,FOOD & BEVERAGE,4,20.92,DEBIT CARD,2021-05-04,Mall of Istanbul,2000-02-05
I193271,C242748,FEMALE,40,FOOD & BEVERAGE,3,15.69,DEBIT CARD,2022-12-23,Kanyon,1986-02-05
I200392,C307921,FEMALE,24,CLOTHING,5,1500.40,CREDIT CARD,2021-09-14,Viaport Outlet,2002-02-05
I796162,C111832,FEMALE,30,FOOD & BEVERAGE,5,26.15,CREDIT CARD,2022-01-06,Metrocity,1996-02-05
I215998,C279370,FEMALE,64,CLOTHING,5,1500.40,CASH,2022-10-26,Cevahir AVM,1962-02-05
I338966,C907582,FEMALE,57,CLOTHING,5,1500.40,CASH,2022-09-21,Mall of Istanbul,1969-02-05
I149688,C276043,FEMALE,26,CLOTHING,4,1200.32,CASH,2021-08-21,Zorlu Center,2000-02-05
I109649,C282643,FEMALE,19,FOOD & BEVERAGE,3,15.69,DEBIT CARD,2021-10-08,Emaar Square Mall,2007-02-05
I299820,C820515,FEMALE,22,BOOKS,3,45.45,CASH,2021-11-22,Kanyon,2004-02-05
I317140,C326893,FEMALE,56,SOUVENIR,5,58.65,CASH,2022-10-19,Istinye Park,1970-02-05
I278121,C885344,FEMALE,60,TOYS,4,143.36,DEBIT CARD,2021-06-07,Metrocity,1966-02-05
I134452,C112750,FEMALE,32,CLOTHING,1,300.08,CREDIT CARD,2023-01-15,Forum Istanbul,1994-02-05
I740676,C199864,FEMALE,56,CLOTHING,2,600.16,CREDIT CARD,2022-09-21,Istinye Park,1970-02-05
I222983,C132002,FEMALE,68,CLOTHING,1,300.08,CREDIT CARD,2021-12-23,Metropol AVM,1958-02-05
I164665,C255058,FEMALE,64,TECHNOLOGY,2,2100.00,CASH,2022-04-30,Kanyon,1962-02-05
I133387,C271799,FEMALE,60,TOYS,4,143.36,CASH,2021-06-07,Forum Istanbul,1966-02-05
I273890,C891545,FEMALE,41,CLOTHING,3,900.24,DEBIT CARD,2021-08-26,Emaar Square Mall,1985-02-05
I219780,C658980,FEMALE,29,CLOTHING,2,600.16,CASH,2021-10-08,Kanyon,1997-02-05
I106691,C150594,FEMALE,60,CLOTHING,4,1200.32,CASH,2021-09-09,Kanyon,1966-02-05
I129886,C846730,FEMALE,42,FOOD & BEVERAGE,5,26.15,CASH,2021-10-25,Metrocity,1984-02-05
I157056,C200826,FEMALE,50,CLOTHING,5,1500.40,CASH,2021-06-20,Kanyon,1976-02-05
I762439,C663463,FEMALE,45,BOOKS,4,60.60,CASH,2021-12-05,Metrocity,1981-02-05
I300972,C134370,FEMALE,40,COSMETICS,1,40.66,CREDIT CARD,2021-05-25,Zorlu Center,1986-02-05
I122655,C989693,FEMALE,32,TECHNOLOGY,2,2100.00,CREDIT CARD,2021-02-21,Metropol AVM,1994-02-05
I236914,C123581,FEMALE,28,CLOTHING,3,900.24,CASH,2021-10-26,Mall of Istanbul,1998-02-05
I247471,C192446,FEMALE,22,TOYS,1,35.84,CASH,2022-12-18,Mall of Istanbul,2004-02-05
I362306,C143343,FEMALE,21,CLOTHING,1,300.08,CREDIT CARD,2022-09-19,Metrocity,2005-02-05
I215279,C223343,FEMALE,31,CLOTHING,2,600.16,CREDIT CARD,2023-02-01,Kanyon,1995-02-05
I216061,C309082,FEMALE,61,FOOD & BEVERAGE,3,15.69,CREDIT CARD,2022-10-05,Mall of Istanbul,1965-02-05
I246375,C236365,FEMALE,67,COSMETICS,2,81.32,CASH,2021-11-28,Kanyon,1959-02-05
I206422,C289933,FEMALE,48,FOOD & BEVERAGE,2,10.46,CREDIT CARD,2022-09-28,Kanyon,1978-02-05
I201704,C340116,FEMALE,53,FOOD & BEVERAGE,3,15.69,CASH,2021-07-12,Metrocity,1973-02-05
I311052,C556552,FEMALE,51,CLOTHING,4,1200.32,CASH,2021-11-20,Cevahir AVM,1975-02-05
I307534,C434171,FEMALE,28,COSMETICS,4,162.64,CASH,2022-03-26,Viaport Outlet,1998-02-05
I259196,C215384,FEMALE,43,TOYS,4,143.36,CREDIT CARD,2022-05-17,Cevahir AVM,1983-02-05
I147203,C340063,FEMALE,59,COSMETICS,5,203.30,CASH,2021-12-20,Istinye Park,1967-02-05
I323788,C131786,FEMALE,32,CLOTHING,1,300.08,CREDIT CARD,2022-03-17,Metropol AVM,1994-02-05
I285454,C194380,FEMALE,41,SOUVENIR,5,58.65,CREDIT CARD,2022-06-23,Metropol AVM,1985-02-05
I288152,C269623,FEMALE,30,TECHNOLOGY,3,3150.00,DEBIT CARD,2021-06-19,Mall of Istanbul,1996-02-05
I176469,C876528,FEMALE,23,FOOD & BEVERAGE,2,10.46,CREDIT CARD,2021-07-31,Viaport Outlet,2003-02-05
I164597,C111766,FEMALE,24,CLOTHING,1,300.08,CASH,2021-03-24,Mall of Istanbul,2002-02-05
I289905,C160005,FEMALE,61,COSMETICS,4,162.64,CASH,2021-10-21,Kanyon,1965-02-05
I416544,C599109,FEMALE,25,FOOD & BEVERAGE,2,10.46,CREDIT CARD,2022-05-28,Metrocity,2001-02-05
I601026,C693789,FEMALE,66,SOUVENIR,5,58.65,CREDIT CARD,2022-03-05,Zorlu Center,1960-02-05
I257890,C259342,FEMALE,59,SHOES,1,600.17,CASH,2021-10-05,Kanyon,1967-02-05
I624164,C102685,FEMALE,26,CLOTHING,1,300.08,CASH,2021-03-20,Kanyon,2000-02-05
I143353,C244291,FEMALE,59,SOUVENIR,5,58.65,CASH,2022-05-15,Metrocity,1967-02-05
I278401,C162371,FEMALE,53,TOYS,1,35.84,DEBIT CARD,2023-01-31,Mall of Istanbul,1973-02-05
I244241,C911768,FEMALE,23,CLOTHING,5,1500.40,CREDIT CARD,2022-08-03,Viaport Outlet,2003-02-05
I179048,C270129,FEMALE,66,TECHNOLOGY,3,3150.00,DEBIT CARD,2021-03-28,Cevahir AVM,1960-02-05
I165202,C617189,FEMALE,56,COSMETICS,4,162.64,CASH,2022-11-21,Mall of Istanbul,1970-02-05
I328321,C271029,FEMALE,38,SOUVENIR,2,23.46,CREDIT CARD,2021-02-12,Metropol AVM,1988-02-05
I248153,C329633,FEMALE,44,FOOD & BEVERAGE,1,5.23,CASH,2022-07-03,Metropol AVM,1982-02-05
I112270,C244780,FEMALE,26,FOOD & BEVERAGE,4,20.92,CASH,2021-02-14,Mall of Istanbul,2000-02-05
I318831,C139568,FEMALE,41,COSMETICS,4,162.64,CREDIT CARD,2022-07-15,Viaport Outlet,1985-02-05
I218385,C290280,FEMALE,51,TOYS,1,35.84,CASH,2022-07-19,Metrocity,1975-02-05
I334246,C311034,FEMALE,23,COSMETICS,3,121.98,CASH,2022-05-19,Mall of Istanbul,2003-02-05
I198233,C584141,FEMALE,31,COSMETICS,4,162.64,CASH,2023-02-13,Metropol AVM,1995-02-05
I409288,C513561,FEMALE,56,FOOD & BEVERAGE,3,15.69,CASH,2021-03-02,Viaport Outlet,1970-02-05
I131054,C257990,FEMALE,34,TOYS,4,143.36,CASH,2021-10-16,Kanyon,1992-02-05
I149521,C168348,FEMALE,29,CLOTHING,2,600.16,CASH,2021-11-04,Kanyon,1997-02-05
I156233,C161285,FEMALE,20,CLOTHING,1,300.08,CREDIT CARD,2023-01-11,Mall of Istanbul,2006-02-05
I295784,C166191,FEMALE,54,COSMETICS,3,121.98,CREDIT CARD,2022-06-08,Forum Istanbul,1972-02-05
I530401,C526660,FEMALE,32,TECHNOLOGY,2,2100.00,CASH,2022-09-25,Zorlu Center,1994-02-05
I316629,C204741,FEMALE,41,SOUVENIR,3,35.19,CASH,2022-01-16,Cevahir AVM,1985-02-05
I151099,C250395,FEMALE,67,SOUVENIR,2,23.46,CREDIT CARD,2021-03-14,Mall of Istanbul,1959-02-05
I399563,C250673,FEMALE,38,TOYS,1,35.84,CASH,2021-06-24,Metropol AVM,1988-02-05
I147727,C163033,FEMALE,38,BOOKS,1,15.15,CREDIT CARD,2022-04-17,Kanyon,1988-02-05
I504141,C558480,FEMALE,56,COSMETICS,1,40.66,CREDIT CARD,2023-02-23,Kanyon,1970-02-05
I606511,C307535,FEMALE,37,SOUVENIR,2,23.46,CREDIT CARD,2022-09-09,Viaport Outlet,1989-02-05
I342816,C238961,FEMALE,19,FOOD & BEVERAGE,2,10.46,CASH,2021-11-04,Mall of Istanbul,2007-02-05
I151764,C671866,FEMALE,53,CLOTHING,5,1500.40,CASH,2022-06-30,Kanyon,1973-02-05
I226172,C171154,FEMALE,69,SHOES,1,600.17,CASH,2021-07-24,Kanyon,1957-02-05
I891311,C240171,FEMALE,31,FOOD & BEVERAGE,2,10.46,DEBIT CARD,2021-09-25,Metropol AVM,1995-02-05
I139520,C316398,FEMALE,34,CLOTHING,5,1500.40,CASH,2021-02-14,Mall of Istanbul,1992-02-05
I798213,C662958,FEMALE,20,SHOES,3,1800.51,CASH,2021-01-03,Metropol AVM,2006-02-05
I232338,C545065,FEMALE,18,CLOTHING,4,1200.32,DEBIT CARD,2022-09-22,Metropol AVM,2008-02-05
I353272,C199311,FEMALE,34,CLOTHING,1,300.08,CREDIT CARD,2021-07-29,Istinye Park,1992-02-05
I317333,C111565,MALE,21,SHOES,3,1800.51,DEBIT CARD,2021-12-12,Forum Istanbul,2005-02-05
I165687,C206501,FEMALE,61,CLOTHING,3,900.24,CASH,2022-12-08,Metropol AVM,1965-02-05
I169015,C726021,FEMALE,38,CLOTHING,5,1500.40,CREDIT CARD,2022-08-11,Mall of Istanbul,1988-02-05
I111305,C448846,FEMALE,67,FOOD & BEVERAGE,3,15.69,CASH,2021-09-13,Metropol AVM,1959-02-05
I148276,C616106,FEMALE,63,CLOTHING,4,1200.32,DEBIT CARD,2022-12-07,Zorlu Center,1963-02-05
I783231,C771066,FEMALE,21,CLOTHING,5,1500.40,DEBIT CARD,2022-01-05,Cevahir AVM,2005-02-05
I313426,C101196,FEMALE,41,COSMETICS,4,162.64,DEBIT CARD,2022-04-05,Kanyon,1985-02-05
I112291,C898405,FEMALE,48,FOOD & BEVERAGE,1,5.23,CREDIT CARD,2022-01-10,Cevahir AVM,1978-02-05
I155076,C195626,FEMALE,22,TOYS,5,179.20,CREDIT CARD,2022-12-21,Kanyon,2004-02-05
I204056,C622748,FEMALE,54,CLOTHING,4,1200.32,CREDIT CARD,2021-02-24,Metropol AVM,1972-02-05
I198698,C281268,FEMALE,29,CLOTHING,1,300.08,DEBIT CARD,2023-01-15,Metropol AVM,1997-02-05
I428118,C826744,FEMALE,44,SHOES,2,1200.34,CREDIT CARD,2023-01-12,Kanyon,1982-02-05
I204147,C252021,FEMALE,20,SHOES,3,1800.51,CREDIT CARD,2022-11-05,Kanyon,2006-02-05
I361028,C647656,FEMALE,59,SHOES,2,1200.34,CASH,2021-07-23,Metrocity,1967-02-05
I915945,C250065,FEMALE,23,CLOTHING,4,1200.32,CREDIT CARD,2022-06-30,Metropol AVM,2003-02-05
I165461,C230766,FEMALE,25,CLOTHING,1,300.08,CREDIT CARD,2022-11-01,Emaar Square Mall,2001-02-05
I261290,C252598,FEMALE,56,CLOTHING,3,900.24,CREDIT CARD,2021-03-13,Cevahir AVM,1970-02-05
I120948,C340089,FEMALE,54,SHOES,4,2400.68,DEBIT CARD,2021-08-08,Mall of Istanbul,1972-02-05
I551237,C375325,FEMALE,53,CLOTHING,4,1200.32,CASH,2021-11-22,Metropol AVM,1973-02-05
I239285,C155335,FEMALE,62,COSMETICS,3,121.98,CREDIT CARD,2022-11-13,Viaport Outlet,1964-02-05
I723062,C225051,FEMALE,42,CLOTHING,4,1200.32,CREDIT CARD,2022-08-12,Kanyon,1984-02-05
I353329,C635016,FEMALE,68,TOYS,2,71.68,CREDIT CARD,2022-09-18,Metrocity,1958-02-05
I964173,C184126,FEMALE,52,CLOTHING,3,900.24,DEBIT CARD,2022-12-15,Emaar Square Mall,1974-02-05
I334389,C233642,FEMALE,19,COSMETICS,2,81.32,CASH,2021-12-29,Mall of Istanbul,2007-02-05
I251855,C258410,FEMALE,68,COSMETICS,3,121.98,CREDIT CARD,2022-06-19,Cevahir AVM,1958-02-05
I158683,C126571,FEMALE,33,SOUVENIR,2,23.46,DEBIT CARD,2022-07-31,Metrocity,1993-02-05
I983860,C169676,FEMALE,60,SHOES,1,600.17,CREDIT CARD,2021-09-30,Metropol AVM,1966-02-05
I119809,C321889,FEMALE,24,FOOD & BEVERAGE,1,5.23,DEBIT CARD,2022-04-06,Zorlu Center,2002-02-05
I240751,C666013,FEMALE,52,FOOD & BEVERAGE,1,5.23,CREDIT CARD,2021-09-18,Kanyon,1974-02-05
I282789,C172185,FEMALE,67,COSMETICS,2,81.32,CASH,2022-02-18,Istinye Park,1959-02-05
I676291,C150463,FEMALE,50,FOOD & BEVERAGE,2,10.46,CASH,2021-06-13,Metropol AVM,1976-02-05
I104404,C111115,FEMALE,21,SHOES,3,1800.51,CASH,2021-03-25,Kanyon,2005-02-05
I827069,C274529,FEMALE,58,TOYS,5,179.20,CASH,2021-05-30,Mall of Istanbul,1968-02-05
I242823,C242659,FEMALE,50,CLOTHING,4,1200.32,DEBIT CARD,2021-03-26,Metropol AVM,1976-02-05
I208631,C194451,FEMALE,68,TECHNOLOGY,2,2100.00,CREDIT CARD,2022-07-27,Kanyon,1958-02-05
I139308,C252600,FEMALE,59,SOUVENIR,2,23.46,CREDIT CARD,2022-04-06,Emaar Square Mall,1967-02-05
I177201,C309645,FEMALE,66,CLOTHING,5,1500.40,CASH,2022-02-04,Forum Istanbul,1960-02-05
I186896,C138755,FEMALE,52,TOYS,1,35.84,CREDIT CARD,2021-09-19,Zorlu Center,1974-02-05
I207465,C296745,FEMALE,27,CLOTHING,2,600.16,CASH,2022-10-10,Istinye Park,1999-02-05
I191148,C221838,FEMALE,43,TECHNOLOGY,2,2100.00,CREDIT CARD,2022-03-29,Forum Istanbul,1983-02-05
I215141,C826514,FEMALE,19,SOUVENIR,1,11.73,CASH,2022-01-25,Kanyon,2007-02-05
I135898,C310108,FEMALE,23,TOYS,2,71.68,DEBIT CARD,2022-08-14,Metropol AVM,2003-02-05
I943072,C358486,FEMALE,52,COSMETICS,2,81.32,CASH,2022-02-03,Metrocity,1974-02-05
I304665,C111056,FEMALE,20,FOOD & BEVERAGE,5,26.15,CREDIT CARD,2021-12-05,Metropol AVM,2006-02-05
I227154,C278142,FEMALE,29,COSMETICS,3,121.98,CASH,2021-12-22,Kanyon,1997-02-05
I542618,C282968,FEMALE,50,COSMETICS,3,121.98,DEBIT CARD,2022-02-22,Emaar Square Mall,1976-02-05
I522612,C852668,FEMALE,44,TOYS,3,107.52,CASH,2021-09-14,Kanyon,1982-02-05
I336817,C274936,FEMALE,47,CLOTHING,1,300.08,CASH,2021-08-03,Cevahir AVM,1979-02-05
I216982,C269751,FEMALE,48,SOUVENIR,4,46.92,CASH,2023-01-02,Metrocity,1978-02-05
I317443,C136051,FEMALE,39,TOYS,1,35.84,CREDIT CARD,2022-11-23,Mall of Istanbul,1987-02-05
I227707,C329163,FEMALE,34,SHOES,4,2400.68,CASH,2022-01-10,Viaport Outlet,1992-02-05
I238456,C305398,FEMALE,65,FOOD & BEVERAGE,1,5.23,CASH,2022-08-06,Kanyon,1961-02-05
I940840,C267961,FEMALE,53,COSMETICS,2,81.32,CASH,2023-02-19,Istinye Park,1973-02-05
I298805,C101248,FEMALE,19,FOOD & BEVERAGE,3,15.69,CREDIT CARD,2021-06-29,Kanyon,2007-02-05
I169894,C165812,FEMALE,19,CLOTHING,2,600.16,CASH,2021-07-01,Istinye Park,2007-02-05
I183571,C339518,FEMALE,31,FOOD & BEVERAGE,1,5.23,CREDIT CARD,2022-02-07,Metrocity,1995-02-05
I921232,C235057,FEMALE,43,TOYS,2,71.68,CASH,2021-10-10,Cevahir AVM,1983-02-05
I300557,C207753,FEMALE,34,COSMETICS,3,121.98,DEBIT CARD,2022-09-17,Istinye Park,1992-02-05
I162186,C204154,FEMALE,32,COSMETICS,2,81.32,DEBIT CARD,2021-07-31,Istinye Park,1994-02-05
I720017,C730395,FEMALE,28,FOOD & BEVERAGE,2,10.46,CREDIT CARD,2022-09-04,Kanyon,1998-02-05
I995407,C259743,FEMALE,48,SOUVENIR,3,35.19,CASH,2021-03-21,Metropol AVM,1978-02-05
I306845,C605200,FEMALE,46,FOOD & BEVERAGE,4,20.92,CREDIT CARD,2022-09-02,Mall of Istanbul,1980-02-05
I274190,C317850,FEMALE,20,TOYS,3,107.52,CASH,2021-06-16,Metropol AVM,2006-02-05
I119142,C278588,FEMALE,35,COSMETICS,5,203.30,DEBIT CARD,2023-01-25,Cevahir AVM,1991-02-05
I195735,C287459,FEMALE,22,CLOTHING,1,300.08,CREDIT CARD,2021-09-08,Kanyon,2004-02-05
I243930,C617884,FEMALE,52,TECHNOLOGY,3,3150.00,DEBIT CARD,2022-10-31,Istinye Park,1974-02-05
I325491,C144628,FEMALE,45,SHOES,2,1200.34,CASH,2021-12-22,Kanyon,1981-02-05
I332582,C260810,FEMALE,41,SOUVENIR,5,58.65,CASH,2022-10-28,Metropol AVM,1985-02-05
I976566,C670524,FEMALE,57,COSMETICS,1,40.66,CASH,2021-06-13,Forum Istanbul,1969-02-05
I312499,C314173,FEMALE,60,BOOKS,1,15.15,CREDIT CARD,2021-08-18,Mall of Istanbul,1966-02-05
I304591,C122712,FEMALE,44,FOOD & BEVERAGE,2,10.46,DEBIT CARD,2021-09-16,Kanyon,1982-02-05
I160687,C327001,FEMALE,50,CLOTHING,2,600.16,DEBIT CARD,2022-07-12,Istinye Park,1976-02-05
I153842,C509924,FEMALE,19,FOOD & BEVERAGE,3,15.69,CREDIT CARD,2022-09-14,Forum Istanbul,2007-02-05
I908600,C259539,FEMALE,54,COSMETICS,4,162.64,CREDIT CARD,2023-02-23,Forum Istanbul,1972-02-05
I708279,C729392,FEMALE,63,COSMETICS,3,121.98,CREDIT CARD,2021-06-25,Emaar Square Mall,1963-02-05
I328691,C280085,FEMALE,66,CLOTHING,2,600.16,DEBIT CARD,2022-07-31,Metrocity,1960-02-05
I423782,C767634,FEMALE,48,COSMETICS,2,81.32,DEBIT CARD,2021-04-08,Mall of Istanbul,1978-02-05
I508712,C216619,FEMALE,64,TOYS,3,107.52,CREDIT CARD,2022-07-19,Mall of Istanbul,1962-02-05
I279688,C209761,FEMALE,20,CLOTHING,1,300.08,CREDIT CARD,2021-06-19,Cevahir AVM,2006-02-05
I317354,C142943,FEMALE,31,CLOTHING,1,300.08,CASH,2021-11-10,Metropol AVM,1995-02-05
I151181,C260213,FEMALE,44,CLOTHING,2,600.16,DEBIT CARD,2021-01-18,Emaar Square Mall,1982-02-05
I144046,C210589,FEMALE,42,SHOES,1,600.17,CREDIT CARD,2022-04-21,Kanyon,1984-02-05
I194017,C462011,FEMALE,67,TECHNOLOGY,5,5250.00,CASH,2022-01-03,Kanyon,1959-02-05
I252777,C262366,FEMALE,55,CLOTHING,2,600.16,CASH,2022-02-19,Zorlu Center,1971-02-05
I254142,C212400,FEMALE,62,SHOES,3,1800.51,CREDIT CARD,2022-12-15,Emaar Square Mall,1964-02-05
I120850,C204307,FEMALE,54,CLOTHING,2,600.16,CREDIT CARD,2021-11-08,Metrocity,1972-02-05
I220285,C162871,FEMALE,43,FOOD & BEVERAGE,4,20.92,CREDIT CARD,2022-05-01,Kanyon,1983-02-05
I180980,C119825,FEMALE,30,CLOTHING,2,600.16,CASH,2021-04-14,Forum Istanbul,1996-02-05
I301451,C260171,FEMALE,58,COSMETICS,5,203.30,DEBIT CARD,2021-06-28,Kanyon,1968-02-05
I533062,C208765,FEMALE,49,CLOTHING,3,900.24,CASH,2022-05-12,Mall of Istanbul,1977-02-05
I998874,C321053,FEMALE,19,CLOTHING,5,1500.40,DEBIT CARD,2022-12-27,Mall of Istanbul,2007-02-05
I325619,C183356,FEMALE,58,FOOD & BEVERAGE,1,5.23,DEBIT CARD,2021-08-16,Kanyon,1968-02-05
I200646,C155763,FEMALE,49,FOOD & BEVERAGE,2,10.46,CREDIT CARD,2021-03-05,Kanyon,1977-02-05
I337094,C567509,FEMALE,50,TECHNOLOGY,1,1050.00,CASH,2023-02-09,Zorlu Center,1976-02-05
I436935,C486241,FEMALE,21,COSMETICS,4,162.64,CASH,2023-02-26,Istinye Park,2005-02-05
I157441,C224223,FEMALE,23,FOOD & BEVERAGE,4,20.92,CASH,2021-12-22,Mall of Istanbul,2003-02-05
I591015,C286181,FEMALE,69,CLOTHING,1,300.08,CASH,2021-09-12,Metrocity,1957-02-05
I219334,C144371,FEMALE,45,SHOES,4,2400.68,CREDIT CARD,2022-03-23,Kanyon,1981-02-05
I237375,C297425,FEMALE,50,BOOKS,1,15.15,CASH,2022-12-29,Istinye Park,1976-02-05
I289611,C222906,FEMALE,45,CLOTHING,3,900.24,DEBIT CARD,2023-03-08,Cevahir AVM,1981-02-05
